set_name,words
Intelligence words,"['intelligent', 'venerable', 'adaptable', 'reflective', 'thoughtful', 'resourceful', 'genius', 'logical', 'smart', 'astute', 'judicious', 'imaginative', 'intuitive', 'shrewd', 'ingenious', 'apt', 'precocious', 'inventive', 'analytical', 'inquiring', 'inquisitive', 'discerning', 'brilliant', 'clever', 'wise']"
Male attributes,"['son', 'him', 'grandfather', 'father', 'he', 'man', 'boy', 'his', 'male', 'brother', 'uncle']"
Male names,"['john', 'paul', 'greg', 'jeff', 'bill', 'mike', 'steve', 'kevin']"
Math words,"['numbers', 'algebra', 'computation', 'geometry', 'addition', 'calculus', 'equations', 'math']"
Musical instruments,"['flute', 'trombone', 'clarinet', 'bongo', 'bassoon', 'tuba', 'trumpet', 'mandolin', 'violin', 'harpsichord', 'saxophone', 'guitar', 'lute', 'viola', 'drum', 'harp', 'fiddle', 'horn', 'bagpipe', 'oboe', 'cello', 'piano', 'bell', 'harmonica', 'banjo']"
Pleasant,"['friend', 'joy', 'wonderful', 'vacation', 'love', 'honest', 'honor', 'pleasure', 'loyal', 'family', 'peace', 'heaven', 'cheer', 'freedom', 'diploma', 'gentle', 'happy', 'paradise', 'diamond', 'laughter', 'sunrise', 'gift', 'health', 'rainbow', 'caress', 'lucky', 'miracle']"
Science words,"['einstein', 'nasa', 'experiment', 'astronomy', 'chemistry', 'science', 'physics', 'technology']"
Strenght words,"['potent', 'bold', 'leader', 'strong', 'triumph', 'command', 'shout', 'winner', 'dominant', 'power', 'succeed', 'confident', 'dynamic', 'loud', 'assert']"
Unpleasant,"['terrible', 'prison', 'divorce', 'war', 'poverty', 'sickness', 'abuse', 'tragedy', 'hatred', 'crash', 'accident', 'poison', 'nasty', 'awful', 'grief', 'disaster', 'stink', 'pollute', 'ugly', 'rotten', 'filth', 'failure', 'bomb', 'horrible', 'jail', 'kill', 'cancer', 'death', 'murder', 'evil', 'vomit', 'agony', 'assault']"
Weakness words,"['wispy', 'loser', 'failure', 'timid', 'lose', 'weak', 'weakness', 'shy', 'surrender', 'follow', 'fragile', 'withdraw', 'vulnerable', 'yield', 'afraid']"
Weapons,"['missile', 'cannon', 'firearm', 'club', 'sword', 'shotgun', 'dagger', 'teargas', 'slingshot', 'harpoon', 'mace', 'blade', 'axe', 'rifle', 'grenade', 'hatchet', 'knife', 'whip', 'bomb', 'pistol', 'spear', 'gun', 'dynamite', 'tank', 'arrow']"
MatSci words,"['einstein', 'nasa', 'experiment', 'astronomy', 'chemistry', 'science', 'physics', 'technology', 'numbers', 'algebra', 'computation', 'geometry', 'addition', 'calculus', 'equations', 'math']"
Male names new,"['john', 'jack', 'joe', 'johnny', 'james', 'david', 'paul', 'billy', 'jimmy', 'simon', 'mark', 'romeo', 'bill', 'peter', 'bob', 'lee', 'jim', 'bobby', 'tom', 'jackson', 'sam', 'michael', 'charlie', 'adam']"
Female names new,"['kim', 'rose', 'mary', 'eve', 'kelly', 'jane', 'lisa', 'juliet', 'jean', 'annie', 'trina', 'sarah', 'sally', 'betty', 'lucy', 'taylor', 'bonnie', 'marie', 'jenny', 'dolly', 'julia', 'anna', 'jill', 'angie']"
